filename,width,height,class,xmin,ymin,xmax,ymax
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,102,170,123,196
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,395,247,424,281
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,160,254,188,290
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,187,307,213,346
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,175,379,209,427
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,276,60,338,137
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,24,221,105,302
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,122,196,200,285
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,218,187,301,282
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,130,404,202,480
d--38-_jpg.rf.7af616cb2ee6ec5bafbbe16be5f4c54d.jpg,563,537,Microplastic,367,10,557,229
d--38-_jpg.rf.7af616cb2ee6ec5bafbbe16be5f4c54d.jpg,563,537,Microplastic,287,155,484,350
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,52,69,64,95
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,454,54,491,111
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,255,95,288,118
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,337,115,361,137
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,122,135,152,158
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,364,139,389,154
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,74,177,95,203
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,330,182,355,204
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,227,207,252,237
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,245,279,268,311
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,307,294,325,330
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,109,357,159,388
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,327,354,361,393
188_jpg.rf.79a80e683f2b355bf9c333b89b065d12.jpg,563,537,Microplastic,145,455,174,492
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,21,19,46,45
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,65,0,86,8
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,378,39,400,73
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,405,91,445,115
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,231,193,249,206
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,296,187,308,206
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,281,273,306,292
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,204,235,215,250
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,196,269,209,287
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,457,430,485,466
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,297,495,343,530
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,24,476,47,511
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,49,510,69,526
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,22,521,43,536
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,391,469,409,493
b--74-_jpg.rf.7d61098f935873621ff43de4aa0e2754.jpg,563,537,Microplastic,525,368,542,392
